2026-02-17T02:37:27.275387899Z [inf]  Selected scenario: self_correcting_speaker
2026-02-17T02:37:27.275394012Z [err]  100.64.0.6 - - [17/Feb/2026 02:37:18] "POST /voice HTTP/1.1" 200 -
2026-02-17T02:37:47.418044877Z [inf]  Clinic said: Thanks for calling Pivot Point Orthopedics, part of Pretty Good AI. Am I speaking with Alex?
2026-02-17T02:37:47.418054804Z [inf]  Patient reply: Yes, this is Alex.
2026-02-17T02:37:47.418062258Z [err]  100.64.0.2 - - [17/Feb/2026 02:37:41] "POST /recording HTTP/1.1" 200 -
2026-02-17T02:37:47.418125246Z [inf]  Saved audio: audio/CAf2c8f49ea22512e8d654ff89a53389c8_1771295859.wav
2026-02-17T02:37:56.236977482Z [inf]  Saved audio: audio/CAf2c8f49ea22512e8d654ff89a53389c8_1771295875.wav
2026-02-17T02:37:56.659692496Z [inf]  Clinic said: Scott. Alex. Can you please tell me your date of birth to verify your identity?
2026-02-17T02:37:57.286121181Z [inf]  Patient reply: Sure, it's April 12, 1985. Uh, I mean, I think that's right.
2026-02-17T02:37:57.286126732Z [err]  100.64.0.9 - - [17/Feb/2026 02:37:57] "POST /recording HTTP/1.1" 200 -
2026-02-17T02:38:27.510149411Z [inf]  Saved audio: audio/CAf2c8f49ea22512e8d654ff89a53389c8_1771295899.wav
2026-02-17T02:38:27.510157669Z [inf]  Clinic said: The birthday you gave doesn't match our records, but for demo purposes, I'll accept it. How can I help you today?
2026-02-17T02:38:27.510164231Z [inf]  Patient reply: Oh, I actually wanted to ask about my test results, um, I mean, my appointment details!
2026-02-17T02:38:27.510171140Z [err]  100.64.0.4 - - [17/Feb/2026 02:38:22] "POST /recording HTTP/1.1" 200 -
2026-02-17T02:39:07.669694885Z [inf]  Saved audio: audio/CAf2c8f49ea22512e8d654ff89a53389c8_1771295938.wav
2026-02-17T02:39:07.669702957Z [inf]  Clinic said: You want to check your appointment details? Let me pull that up for you. Alex, you have two upcoming appointments for a new patient consultation with Dr. Adam Bricker. One is on Tuesday, February 24th at 9 a.m. and the other is on Wednesday, February 25th at 9 a.m. Do you want to confirm anything specific or need more details?
2026-02-17T02:39:07.669709814Z [inf]  Patient reply: Oh, actually, can I get the details for the appointment on the 25th?
2026-02-17T02:39:07.669716951Z [err]  100.64.0.2 - - [17/Feb/2026 02:39:00] "POST /recording HTTP/1.1" 200 -
2026-02-17T02:39:37.819321700Z [inf]  Saved audio: audio/CAf2c8f49ea22512e8d654ff89a53389c8_1771295971.wav
2026-02-17T02:39:37.819328750Z [inf]  Clinic said: Sure. Your appointment on Wednesday, February 25th is at 9 a.m. with Dr. Adam Bricker for a new patient consultation at Pivot Point Orthopedics, 220 Athens Way, Nashville. Do you need any more info or want it sent as a text?
2026-02-17T02:39:37.819335946Z [inf]  Patient reply: Uh, yes, could you actually send that as a text?
2026-02-17T02:39:37.820234392Z [err]  100.64.0.4 - - [17/Feb/2026 02:39:33] "POST /recording HTTP/1.1" 200 -
2026-02-17T02:39:57.170304735Z [inf]  Saved audio: audio/CAf2c8f49ea22512e8d654ff89a53389c8_1771295992.wav
